A_Municipality,A_State,Z_Municipality,Z_State
Seattle,WA,Portland,OR
Portland,OR,Hillsboro,OR
Portland,OR,Boise,ID
Boise,ID,Twin Falls,ID
Twin Falls,ID,Salt Lake City,UT
Reno,NV,Sacramento,CA
Reno,NV,Salt Lake City,UT
Sacramento,CA,San Francisco,CA
San Francisco,CA,Palo Alto,CA
Palo Alto,CA,San Jose,CA
Sacramento,CA,Bakersfield,CA
Bakersfield,CA,Los Angeles,CA
San Jose,CA,Los Angeles,CA
Los Angeles,CA,San Diego,CA
Los Angeles,CA,Las Vegas,NV
Los Angeles,CA,Phoenix,AZ
Las Vegas,NV,Salt Lake City,UT
Las Vegas,NV,Phoenix,AZ
Phoenix,AZ,Tucson,AZ
Tucson,AZ,El Paso,TX
Salt Lake City,UT,Grand Junction,CO
Grand Junction,CO,Denver,CO
Denver,CO,Colorado Springs,CO
Colorado Springs,CO,Amarillo,TX
El Paso,TX,Carlsbad,NM
Carlsbad,NM,Odessa,TX
Odessa,TX,Midland,TX
Midland,TX,Dallas,TX
Minneapolis,MN,Chicago,IL
Minneapolis,MN,Des Moines,IA
Des Moines,IA,Davenport,IA
Davenport,IA,Chicago,IL
Des Moines,IA,Omaha,NE
Des Moines,IA,Chicago,IL
Omaha,NE,Lincoln,NE
Lincoln,NE,Kansas City,MO
Chicago,IL,Bloomington,IL
Bloomington,IL,St. Louis,MO
Kansas City,MO,Columbia,MO
Columbia,MO,St. Louis,MO
Kansas City,MO,St. Louis,MO
Kansas City,MO,Tulsa,OK
Tulsa,OK,Oklahoma City,OK
Oklahoma City,OK,Wichita Falls,TX
Wichita Falls,TX,Dallas,TX
Oklahoma City,OK,Dallas,TX
Amarillo,TX,Lubbock,TX
Lubbock,TX,Dallas,TX
Tulsa,OK,Little Rock,AR
Little Rock,AR,Memphis,TN
Dallas,TX,Shreveport,LA
Shreveport,LA,Jackson,MS
Jackson,MS,Birmingham,AL
Dallas,TX,Temple,TX
Temple,TX,San Antonio,TX
Dallas,TX,Houston,TX
Houston,TX,San Antonio,TX
San Antonio,TX,Laredo,TX
Laredo,TX,McAllen,TX
Houston,TX,New Orleans,LA
St. Louis,MO,Indianapolis,IN
St. Louis,MO,Memphis,TN
St. Louis,MO,Louisville,KY
Chicago,IL,Indianapolis,IN
Indianapolis,IN,Cincinnati,OH
Cincinnati,OH,Louisville,KY
Louisville,KY,Lexington,KY
Indianapolis,IN,Louisville,KY
Louisville,KY,Nashville,TN
Memphis,TN,Nashville,TN
Memphis,TN,Birmingham,AL
Nashville,TN,Knoxville,TN
Knoxville,TN,Bristol,TN
Nashville,TN,Birmingham,AL
Nashville,TN,Atlanta,GA
Birmingham,AL,Atlanta,GA
Chicago,IL,Toledo,OH
Toledo,OH,Cleveland,OH
Cleveland,OH,Buffalo,NY
Cleveland,OH,Pittsburgh,PA
Buffalo,NY,Albany,NY
Pittsburgh,PA,Philadelphia,PA
Philadelphia,PA,Washington,DC
Washington,DC,Ashburn,VA
Albany,NY,New York,NY
New York,NY,Newark,NJ
Newark,NJ,Wall,NJ
New York,NY,Philadelphia,PA
Washington,DC,Richmond,VA
Ashburn,VA,Richmond,VA
Richmond,VA,Virginia Beach,VA
Richmond,VA,Charlotte,NC
Bristol,TN,Richmond,VA
Charlotte,NC,Atlanta,GA
Atlanta,GA,Augusta,GA
Augusta,GA,Charleston,SC
Charleston,SC,Savannah,GA
Savannah,GA,Jacksonville,FL
Atlanta,GA,Tallahassee,FL
Tallahassee,FL,Jacksonville,FL
Jacksonville,FL,Orlando,FL
Orlando,FL,Tampa,FL
Tampa,FL,Miami,FL
Orlando,FL,Miami,FL
New Orleans,LA,Mobile,AL
Mobile,AL,Dothan,AL
Dothan,AL,Tallahassee,FL
Charlotte,NC,Augusta,GA
Albany,NY,Albany,NY
Ashburn,VA,Ashburn,VA
Atlanta,GA,Atlanta,GA
Augusta,GA,Augusta,GA
Birmingham,AL,Birmingham,AL
Boise,ID,Boise,ID
Buffalo,NY,Buffalo,NY
Charlotte,NC,Charlotte,NC
Chicago,IL,Chicago,IL
Cincinnati,OH,Cincinnati,OH
Cleveland,OH,Cleveland,OH
Dallas,TX,Dallas,TX
Davenport,IA,Davenport,IA
Denver,CO,Denver,CO
Des Moines,IA,Des Moines,IA
El Paso,TX,El Paso,TX
Houston,TX,Houston,TX
Indianapolis,IN,Indianapolis,IN
Jacksonville,FL,Jacksonville,FL
Kansas City,MO,Kansas City,MO
Laredo,TX,Laredo,TX
Las Vegas,NV,Las Vegas,NV
Los Angeles,CA,Los Angeles,CA
McAllen,TX,McAllen,TX
Memphis,TN,Memphis,TN
Miami,FL,Miami,FL
Minneapolis,MN,Minneapolis,MN
Nashville,TN,Nashville,TN
New York,NY,New York,NY
Newark,NJ,Newark,NJ
Oklahoma City,OK,Oklahoma City,OK
Omaha,NE,Omaha,NE
Orlando,FL,Orlando,FL
Philadelphia,PA,Philadelphia,PA
Phoenix,AZ,Phoenix,AZ
Pittsburgh,PA,Pittsburgh,PA
Portland,OR,Portland,OR
Reno,NV,Reno,NV
Richmond,VA,Richmond,VA
Sacramento,CA,Sacramento,CA
Salt Lake City,UT,Salt Lake City,UT
San Antonio,TX,San Antonio,TX
San Diego,CA,San Diego,CA
San Francisco,CA,San Francisco,CA
San Jose,CA,San Jose,CA
Seattle,WA,Seattle,WA
St. Louis,MO,St. Louis,MO
Tallahassee,FL,Tallahassee,FL
Tampa,FL,Tampa,FL
Toledo,OH,Toledo,OH
Tucson,AZ,Tucson,AZ
Tulsa,OK,Tulsa,OK
Wall,NJ,Wall,NJ
