name,lat,lon,network
Williston,48.147,-103.618,dcn
Ray,48.341,-103.166,dcn
Stanley,48.317,-102.388,dcn
Minot,48.232,-101.296,dcn
Alexander,47.838,-103.642,dcn
Parshall,47.952,-102.135,dcn
Max,47.815,-101.298,dcn
Bismarck,46.808,-100.784,dcn
Steele,46.857,-99.916,dcn
Dickinson,46.879,-102.789,dcn
Beach,46.918,-104.001,dcn
Rugby,48.369,-99.996,dcn
Devils Lake,48.113,-98.865,dcn
Carrington,47.449,-99.126,dcn
Jamestown,46.910,-98.708,dcn
Marion Jct.,46.611,-98.343,dcn
Gwinner,46.218,-97.661,dcn
Abercrombie,46.448,-96.728,dcn
Buffalo,46.917,-97.547,dcn
Fargo,46.877,-96.789,dcn
Grand Forks,47.925,-97.032,dcn
Kalispell,48.196,-114.314,vision_net
Great Falls,47.507,-111.300,vision_net
Helena,46.589,-112.039,vision_net
Havre,48.550,-109.684,vision_net
Bozeman,45.677,-111.043,vision_net
Billings,45.787,-108.500,vision_net
Miles City,46.408,-105.840,vision_net
